datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.4,1,-22.9943,-43.5731,2.8
2019/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.4,1,-22.9978,-43.5737,2.4
2019/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0.4,-999,-23.0012,-43.5743,2.4
2019/01/13 04:42:00,NPP-375,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,0.7,-22.9344,-42.9200,0.7
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlantica,5,0,-999,-22.5405,-44.1121,3.3
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,-999,-22.7914,-43.0023,5.5
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,SAO PEDRO DA ALDEIA,Mata Atlantica,16,0,1,-22.8280,-42.0667,3
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,8,0,1,-22.8663,-43.7271,2.2
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,NITEROI,Mata Atlantica,-999,0,-999,-22.8808,-43.0691,1.5
2019/01/13 17:06:00,NPP-375,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,1,-22.9515,-42.9456,1.9
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,Mata Atlantica,9,0,1,-21.5182,-42.1774,4.3
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,Mata Atlantica,9,0,1,-21.5209,-42.1681,2.4
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SAO FIDELIS,Mata Atlantica,7,0,0.4,-21.6130,-41.6679,6.8
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,6,0.2,1,-22.4352,-44.3822,2.8
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,6,0.2,1,-22.4389,-44.3814,2.8
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlantica,6,0,1,-22.5972,-44.2008,2.3
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlantica,6,0,1,-22.5998,-44.1969,3.8
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,JAPERI,Mata Atlantica,6,0,1,-22.6487,-43.6315,2.6
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,QUEIMADOS,Mata Atlantica,6,0,1,-22.7256,-43.5915,3.7
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,11,0,1,-22.7432,-42.2192,4.3
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,9,0,-999,-22.7539,-42.8719,9.2
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,RIO BONITO,Mata Atlantica,9,0,1,-22.7546,-42.4598,4.6
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,RIO CLARO,Mata Atlantica,8,0.8,0.6,-22.7645,-44.1399,4.9
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,15,0,1,-22.8605,-42.5775,4.7
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,15,0,1,-22.8612,-42.5814,3.7
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,15,0,1,-22.8620,-42.5854,3.7
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,10,0,1,-22.8640,-42.8361,6.2
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,14,0,1,-22.8701,-42.7787,3.5
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,16,0,1,-22.8708,-42.3626,2
2019/01/14 16:48:00,NPP-375,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,9,0,1,-22.9256,-42.9400,3.9
2019/01/14 04:24:00,NPP-375,Brasil,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,Mata Atlantica,9,0,1,-21.5193,-42.1766,2.3
2019/01/14 04:24:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0,-999,-22.8611,-43.3147,1.2
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,0.6,-22.9592,-43.5601,5.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9536,-43.7039,7.2
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9497,-43.7007,3.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9475,-43.7088,10.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,-999,-22.9470,-43.5699,5.3
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9470,-43.7050,10.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9464,-43.7013,16.4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9442,-43.7094,10.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9436,-43.7056,10.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,1,-22.9403,-43.7062,3
2019/01/18 17:18:00,NPP-375,Brasil,RIO DE JANEIRO,CARDOSO MOREIRA,Mata Atlantica,12,0,1,-21.6179,-41.4795,4.8
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,VARRE-SAI,Mata Atlantica,11,0,1,-20.8869,-41.8351,2.8
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,VARRE-SAI,Mata Atlantica,11,0,1,-20.8876,-41.8308,1.4
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,VARRE-SAI,Mata Atlantica,11,0,1,-20.8879,-41.8332,4.3
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,11,0,1,-21.6564,-41.3563,1.6
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9160,-42.4341,5.6
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9196,-42.4349,5.6
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,17,0.1,1,-22.9232,-42.4356,0.9
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,11,0,1,-22.9838,-43.6190,6.1
2019/01/16 03:42:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,11,0,1,-22.9876,-43.6200,4.7
2019/01/18 15:36:00,NPP-375,Brasil,RIO DE JANEIRO,CARDOSO MOREIRA,Mata Atlantica,12,0,1,-21.6171,-41.4824,5.4
2019/01/18 15:36:00,NPP-375,Brasil,RIO DE JANEIRO,QUEIMADOS,Mata Atlantica,9,3.8,1,-22.7519,-43.5747,2.4
2019/01/18 17:12:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,13,0.5,1,-22.8128,-43.7844,3.8
2019/01/18 17:12:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,12,0.9,1,-22.8308,-43.7230,6.6
2019/01/18 17:12:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,12,0.9,1,-22.8317,-43.7271,4.8
2019/01/18 17:12:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,12,0.9,1,-22.8353,-43.7266,4.9
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,11,0,1,-21.8864,-41.4324,8.2
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,11,0,1,-22.5886,-42.1156,7.4
